t lat lon alt heading roll pitch
84.168 33.7786701 -84.4026476 286.6 1.0297 -0.018798 0.064241
84.57 33.7786721 -84.4026523 286.6 1.0588 0.041937 0.025898
85.172 33.7786731 -84.4026564 286.6 1.1045 0.15146 -0.054714
87.736 33.7786717 -84.4026581 286.2 1.1673 0.028222 0.0037707
87.736 33.7786717 -84.4026581 286.1 1.1637 0.029886 0.0033403
88.182 33.7786727 -84.402658 286.1 1.1707 -0.077578 -0.0094625
88.586 33.7786753 -84.4026581 286 1.2096 -0.16961 -0.016502
89.189 33.7786832 -84.4026592 285.8 1.2807 -0.062881 0.020348
89.591 33.7786883 -84.4026603 285.7 1.344 0.0031753 0.030671
90.203 33.7786956 -84.4026622 285.7 1.4428 0.06835 0.011897
90.595 33.7786979 -84.402663 285.6 1.5115 0.17143 -0.0090717
93.396 33.778698 -84.4026641 285.5 1.6102 0.078357 -0.027208
93.396 33.7786975 -84.4026648 285.7 1.6102 0.078357 -0.027208
93.396 33.7786975 -84.4026645 285.7 1.6584 -0.024059 0.014403
93.612 33.7786975 -84.4026642 285.7 1.6546 -0.014524 0.0044644
94.212 33.7786975 -84.402664 285.8 1.6057 -0.033203 0.003358
94.614 33.7786974 -84.4026638 285.9 1.5243 -0.031424 0.0089303
97.09 33.7786977 -84.4026627 286.9 1.3782 -0.025949 0.0521
97.223 33.7786979 -84.4026627 287.2 1.3786 -0.016519 0.078169
99.783 33.7786983 -84.4026644 287.5 1.1728 -0.029481 0.064496
99.784 33.7786984 -84.4026642 287.6 1.1762 -0.0052193 0.076307
100.24 33.7786996 -84.4026641 287.5 1.169 -0.12635 0.065649
100.65 33.7787025 -84.4026645 287.3 1.1784 -0.17217 0.071951
101.25 33.7787101 -84.4026663 287.1 1.2039 -0.054063 0.095201
101.65 33.7787151 -84.4026678 286.9 1.2192 0.012491 0.099596
102.25 33.7787208 -84.4026694 286.6 1.2526 0.15406 0.11086
102.65 33.7787222 -84.4026703 286.6 1.2661 0.18155 0.09774
105.24 33.7787227 -84.4026717 285.5 1.2904 0.072037 0.062515
105.26 33.778723 -84.4026712 285.2 1.2922 0.090582 0.092008
105.66 33.7787238 -84.4026706 285 1.2896 0.030121 0.018514
106.27 33.7787282 -84.4026685 284.9 1.3111 -0.022339 -0.017733
106.97 33.778732 -84.4026671 284.8 1.3233 -0.011065 -0.013279
107.28 33.7787371 -84.4026639 284.8 1.3609 0.092817 0.050413
107.68 33.7787386 -84.4026627 284.8 1.3723 0.10637 0.15027
110.35 33.7787392 -84.4026626 285.1 1.4202 -0.0095021 0.049914
110.35 33.7787391 -84.4026631 285 1.408 -0.017651 -0.063165
110.69 33.7787391 -84.4026627 285 1.3959 -0.073321 -0.070992
111.29 33.7787427 -84.4026599 284.9 1.4977 -0.097665 -0.069791
111.7 33.7787459 -84.4026566 284.9 1.6486 -0.032002 -0.074629
112.3 33.7787515 -84.4026507 284.8 1.8478 -0.13136 0.10936
112.7 33.7787561 -84.4026479 284.5 2.0196 0.032825 0.04364
113.3 33.7787586 -84.4026466 284.4 2.2486 0.09955 -0.017161
115.94 33.7787586 -84.4026472 284.5 2.4026 0.025795 -0.017365
115.94 33.7787588 -84.402647 284.7 2.5292 -0.037611 -0.014769
115.94 33.7787591 -84.4026467 284.9 2.5253 -0.03136 -0.035444
116.31 33.7787602 -84.4026449 285 2.5258 -0.25173 0.028863
116.71 33.7787633 -84.4026409 285 2.5013 -0.073596 -0.0055634
119.15 33.7787633 -84.4026386 285.4 2.3836 -0.016279 0.034258
119.33 33.7787633 -84.4026385 285.5 2.3822 -0.052603 0.044278
119.73 33.7787642 -84.4026373 285.6 2.3855 -0.18585 0.05284
120.33 33.7787687 -84.402632 285.7 2.4159 -0.18793 0.08296
120.73 33.7787726 -84.4026278 285.7 2.4566 -0.073119 0.048646
121.33 33.7787782 -84.4026216 285.8 2.5054 -0.03591 0.069801
121.74 33.778781 -84.4026183 285.8 2.5404 0.084418 0.044725
122.34 33.7787825 -84.4026173 286 2.5903 0.12997 0.018704
124.77 33.7787819 -84.4026162 286.3 2.6384 0.021154 0.098124
124.77 33.7787819 -84.4026159 286.4 2.6386 0.038109 0.090159
125.34 33.778782 -84.4026142 286.4 2.6492 -0.082146 0.017286
125.74 33.7787824 -84.4026094 286.4 2.7228 -0.080058 -0.07983
126.34 33.7787821 -84.4025988 286.4 2.8481 -0.015574 -0.031532
