t lat lon alt heading roll pitch
121.99 33.93334 -84.5393769 341.1 1.3671 0.014434 0.021167
122.39 33.9333459 -84.5393838 341.1 1.3899 0.030818 0.0085979
122.99 33.933354 -84.5393931 341.2 1.4188 0.15377 -0.073574
123.39 33.9333573 -84.5393973 341.2 1.4327 0.21245 -0.12944
124 33.9333579 -84.5393993 341.2 1.4689 0.16544 -0.12295
127.41 33.9333587 -84.5393998 340.9 1.5093 0.067488 -0.02356
127.41 33.9333588 -84.5393999 340.8 1.5106 0.064772 -0.031195
128.01 33.933361 -84.5393993 340.9 1.5288 -0.12822 -0.12319
128.41 33.9333654 -84.5393969 340.9 1.5578 -0.20124 -0.13438
129.01 33.9333769 -84.5393912 341 1.6045 -0.21895 -0.096655
129.41 33.9333865 -84.5393871 341 1.6323 -0.067655 -0.069236
130.02 33.9334006 -84.5393812 341.1 1.6889 -0.022239 -0.076699
130.42 33.93341 -84.5393769 341.3 1.7284 -0.057041 -0.07967
131.02 33.9334239 -84.5393704 341.3 1.7848 -0.03289 -0.065921
131.42 33.9334332 -84.5393661 341.3 1.8241 -0.050889 -0.061329
132.02 33.9334452 -84.5393607 341.2 1.8747 0.17048 -0.040313
132.42 33.9334497 -84.5393588 341.2 1.9098 0.19573 -0.030666
133.02 33.933452 -84.5393583 341.1 1.9673 0.18195 -0.069002
136.48 33.9334532 -84.539358 341.1 2.0305 0.010978 -0.040854
136.48 33.9334534 -84.5393581 341 2.0316 0.022192 -0.034645
137.03 33.9334544 -84.5393567 341.2 2.044 -0.11159 -0.079535
137.43 33.933458 -84.5393536 341.4 2.0721 -0.21359 -0.095718
138.03 33.9334666 -84.5393448 341.5 2.1244 -0.20883 -0.095413
138.43 33.9334738 -84.5393371 341.6 2.157 -0.12371 -0.084755
139.04 33.9334844 -84.5393259 341.7 2.2098 -0.083353 -0.057297
139.44 33.9334919 -84.5393184 341.8 2.2496 -0.051479 -0.077883
140.04 33.933503 -84.5393071 341.8 2.3064 -0.062517 -0.082306
140.44 33.9335103 -84.5392994 341.9 2.3442 -0.053176 -0.067354
141.04 33.93352 -84.5392893 341.9 2.3994 0.094664 -0.062829
141.45 33.9335242 -84.539285 341.9 2.4325 0.16942 -0.076551
142.04 33.9335266 -84.5392826 341.9 2.4874 0.17888 -0.09506
145.61 33.9335269 -84.5392822 342 2.5311 0.091913 -0.089707
145.61 33.9335276 -84.5392813 341.9 2.5651 0.015712 -0.036931
145.61 33.9335276 -84.5392814 341.9 2.5644 0.015946 -0.041536
146.05 33.9335277 -84.53928 341.9 2.5762 -0.089548 -0.1425
146.46 33.9335277 -84.5392761 341.9 2.6101 -0.16096 -0.20639
147.06 33.9335266 -84.5392634 341.9 2.6673 -0.11003 -0.21207
147.47 33.9335255 -84.5392524 341.9 2.6988 -0.045291 -0.134
